"p1" "p3" "p4" "p5" "p6" "p7" "p8" "p9" "p10" "p11" "p12" "p14" "p15" "p16" "p17" "p18" "p19" "p20" "p21" "p22" "p23" "p24" "p25" "p26" "p27" "p28" "p29" "p30" "p31" "p33" "p34" "p35" "p36" "p37" "p38" "p39" "p40" "p42" "p44" "p46" "p47" "p48" "p49" "p50" "p51" "p52" "p53" "p54" "p56" "p57" "p58" "p59" "p61" "p62" "p63" "p64" "p65" "p66" "p67" "p68" "p69" "p70" "p71" "p72" "p73" "p74" "p75" "p76" "p77" "p79" "p80" "p81" "p82" "p83" "p85" "p86" "p87" "p88" "p89" "p90" "p91" "p92" "p93" "p95" "p96" "p97" "p100"
"TP53" 1 0 1 1 0.5 0 0 1 0 0 0 1 0.5 1 1 0 0 0 1 1 0.25 1 1 1 1 0.5 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0.5 0 0.333333333333333 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0.5 1 0.5 1 0 1 1
"KRAS" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0.75 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1 1 1 0.5 0 0.5 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"STK11" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"KEAP1" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"PIK3CA" 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 1 0 0.142857142857143 0 0 1 0 0 1 0 0 0.333333333333333 0.5 1 0 0 0 0 0 1 0 0 0.333333333333333 0 1 0 0 0.5 0 0 0 0 0
"NFE2L2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.142857142857143 0 0 1 0 1 0 0 0 0 0.75 1 0.666666666666667 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"MGA" 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0.714285714285714 0 0 0 0.333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.571428571428571 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0
"EGFR" 0 1 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OR2W3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0.75 0 0 0 0 0 0 0 0 0 0 1 0
"CDKN2A" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0.5 0 0 0 0 0 0
"NBN" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
